"Year","Week","numcases","shortyear","Year_Week","targetcases","non_target_cases"
"2017","36",1,17,"17-36",1,0
"2017","37",0,17,"17-37",0,0
"2017","38",1,17,"17-38",1,0
"2017","39",0,17,"17-39",0,0
"2017","40",1,17,"17-40",0,1
"2017","41",0,17,"17-41",0,0
"2017","42",1,17,"17-42",1,0
"2017","43",0,17,"17-43",0,0
"2017","44",6,17,"17-44",5,1
"2017","45",4,17,"17-45",4,0
"2017","46",3,17,"17-46",3,0
"2017","47",3,17,"17-47",3,0
"2017","48",5,17,"17-48",5,0
"2017","49",5,17,"17-49",5,0
"2017","50",3,17,"17-50",3,0
"2017","51",5,17,"17-51",5,0
"2017","52",4,17,"17-52",4,0
"2018","1",3,18,"18-1",3,0
"2018","2",6,18,"18-2",6,0
"2018","3",3,18,"18-3",3,0
"2018","4",8,18,"18-4",6,2
"2018","5",10,18,"18-5",8,2
"2018","6",8,18,"18-6",6,2
"2018","7",6,18,"18-7",6,0
"2018","8",19,18,"18-8",14,5
"2018","9",16,18,"18-9",12,4
"2018","10",9,18,"18-10",7,2
"2018","11",14,18,"18-11",12,2
"2018","12",23,18,"18-12",9,14
"2018","13",25,18,"18-13",17,8
"2018","14",19,18,"18-14",13,6
"2018","15",25,18,"18-15",21,4
"2018","16",28,18,"18-16",20,8
"2018","17",28,18,"18-17",22,6
"2018","18",21,18,"18-18",17,4
"2018","19",23,18,"18-19",19,4
"2018","20",25,18,"18-20",18,7
"2018","21",18,18,"18-21",11,7
"2018","22",22,18,"18-22",17,5
"2018","23",19,18,"18-23",11,8
"2018","24",11,18,"18-24",6,5
"2018","25",9,18,"18-25",5,4
"2018","26",10,18,"18-26",10,0
"2018","27",5,18,"18-27",4,1
"2018","28",6,18,"18-28",5,1
"2018","29",4,18,"18-29",4,0
"2018","30",2,18,"18-30",2,0
"2018","31",4,18,"18-31",4,0
"2018","32",3,18,"18-32",2,1
"2018","33",2,18,"18-33",2,0
"2018","34",1,18,"18-34",1,0
"2018","35",3,18,"18-35",3,0
"2018","36",1,18,"18-36",1,0
"2018","37",3,18,"18-37",3,0
"2018","38",2,18,"18-38",2,0
"2018","39",2,18,"18-39",2,0
"2018","40",0,18,"18-40",0,0
"2018","41",2,18,"18-41",2,0
"2018","42",0,18,"18-42",0,0
"2018","43",2,18,"18-43",2,0
"2018","44",1,18,"18-44",1,0
"2018","45",0,18,"18-45",0,0
"2018","46",2,18,"18-46",1,1
"2018","47",0,18,"18-47",0,0
"2018","48",1,18,"18-48",1,0
"2018","49",0,18,"18-49",0,0
"2018","50",2,18,"18-50",2,0
"2018","51",0,18,"18-51",0,0
"2018","52",2,18,"18-52",2,0
"2019","1",0,19,"19-1",0,0
"2019","2",0,19,"19-2",0,0
"2019","3",0,19,"19-3",0,0
"2019","4",0,19,"19-4",0,0
"2019","5",0,19,"19-5",0,0
"2019","6",0,19,"19-6",0,0
"2019","7",0,19,"19-7",0,0
"2019","8",0,19,"19-8",0,0
"2019","9",0,19,"19-9",0,0
"2019","10",0,19,"19-10",0,0
"2019","11",0,19,"19-11",0,0
"2019","12",0,19,"19-12",0,0
"2019","13",0,19,"19-13",0,0
"2019","14",0,19,"19-14",0,0
"2019","15",0,19,"19-15",0,0
"2019","16",0,19,"19-16",0,0
"2019","17",0,19,"19-17",0,0
"2019","18",0,19,"19-18",0,0
"2019","19",0,19,"19-19",0,0
"2019","20",0,19,"19-20",0,0
"2019","21",0,19,"19-21",0,0
"2019","22",1,19,"19-22",0,1
