index,Date,NormWeek,theta
0,2018-01-14,0.0,0
1,2018-01-21,20.0,79
2,2018-01-28,21.0,190
3,2018-02-04,22.0,201
4,2018-02-11,23.0,200
5,2018-02-18,24.0,112
6,2018-02-25,25.0,738
7,2018-03-04,26.0,144
8,2018-03-11,27.0,94
9,2018-03-18,28.0,223
10,2018-03-25,29.0,366
11,2018-04-01,30.0,299
12,2018-04-08,31.0,602
13,2018-04-15,32.0,982
14,2018-04-22,33.0,1137
15,2018-04-29,34.0,1732
16,2018-05-06,35.0,1068
17,2018-05-13,36.0,672
18,2018-05-20,37.0,406
19,2018-05-27,38.0,326
20,2018-06-03,39.0,214
21,2018-06-10,40.0,210
22,2018-06-17,41.0,4
23,2018-06-24,42.0,0
