date,location,location_name,cases,hospitalizations,deaths
2020-01-22,US,United States,1.0,,1.0
2020-01-23,US,United States,0.0,,1.0
2020-01-24,US,United States,1.0,,1.0
2020-01-25,US,United States,0.0,,1.0
2020-01-26,US,United States,3.0,,1.0
2020-01-27,US,United States,0.0,,1.0
2020-01-28,US,United States,0.0,,1.0
2020-01-29,US,United States,1.0,,1.0
2020-01-30,US,United States,0.0,,1.0
2020-01-31,US,United States,2.0,,1.0
2020-02-01,US,United States,0.0,,1.0
2020-02-02,US,United States,0.0,,1.0
2020-02-03,US,United States,3.0,,1.0
2020-02-04,US,United States,0.0,,1.0
2020-02-05,US,United States,0.0,,1.0
2020-02-06,US,United States,1.0,,1.0
2020-02-07,US,United States,0.0,,1.0
2020-02-08,US,United States,0.0,,1.0
2020-02-09,US,United States,0.0,,1.0
2020-02-10,US,United States,0.0,,1.0
2020-02-11,US,United States,1.0,,1.0
2020-02-12,US,United States,0.0,,1.0
2020-02-13,US,United States,1.0,,1.0
2020-02-14,US,United States,0.0,,1.0
2020-02-15,US,United States,0.0,,1.0
2020-02-16,US,United States,0.0,,1.0
2020-02-17,US,United States,1.0,,1.0
2020-02-18,US,United States,1.0,,1.0
2020-02-19,US,United States,0.0,,1.0
2020-02-20,US,United States,0.0,,1.0
2020-02-21,US,United States,0.0,,1.0
2020-02-22,US,United States,0.0,,1.0
2020-02-23,US,United States,0.0,,1.0
2020-02-24,US,United States,1.0,,1.0
2020-02-25,US,United States,1.0,,1.0
2020-02-26,US,United States,1.0,,1.0
2020-02-27,US,United States,0.0,,1.0
2020-02-28,US,United States,0.0,,1.0
2020-02-29,US,United States,7.0,,2.0
2020-03-01,US,United States,13.0,,2.0
2020-03-02,US,United States,18.0,,7.0
2020-03-03,US,United States,22.0,,8.0
2020-03-04,US,United States,34.0,,12.0
2020-03-05,US,United States,71.0,,13.0
2020-03-06,US,United States,63.0,,15.0
2020-03-07,US,United States,170.0,,18.0
2020-03-08,US,United States,121.0,,22.0
2020-03-09,US,United States,92.0,,24.0
2020-03-10,US,United States,167.0,,29.0
2020-03-11,US,United States,359.0,,34.0
2020-03-12,US,United States,440.0,,45.0
2020-03-13,US,United States,626.0,,52.0
2020-03-14,US,United States,730.0,,61.0
2020-03-15,US,United States,282.0,,72.0
2020-03-16,US,United States,1433.0,,97.0
2020-03-17,US,United States,1783.0,,133.0
2020-03-18,US,United States,2706.0,,198.0
2020-03-19,US,United States,4507.0,,273.0
2020-03-20,US,United States,6401.0,,378.0
2020-03-21,US,United States,5992.0,,482.0
2020-03-22,US,United States,8888.0,,603.0
2020-03-23,US,United States,11152.0,,790.0
2020-03-24,US,United States,10618.0,,1033.0
2020-03-25,US,United States,12127.0,,1366.0
2020-03-26,US,United States,17821.0,,1783.0
2020-03-27,US,United States,18591.0,,2305.0
2020-03-28,US,United States,22164.0,,3018.0
2020-03-29,US,United States,16127.0,,3573.0
2020-03-30,US,United States,22154.0,,4280.0
2020-03-31,US,United States,26381.0,,5359.0
2020-04-01,US,United States,35464.0,,6989.0
2020-04-02,US,United States,32255.0,,8535.0
2020-04-03,US,United States,32403.0,,9970.0
2020-04-04,US,United States,31764.0,,11589.0
2020-04-05,US,United States,29152.0,,13226.0
2020-04-06,US,United States,31993.0,,14989.0
2020-04-07,US,United States,30146.0,,17595.0
2020-04-08,US,United States,31244.0,,19747.0
2020-04-09,US,United States,35481.0,,22003.0
2020-04-10,US,United States,34415.0,,24160.0
2020-04-11,US,United States,28917.0,,26295.0
2020-04-12,US,United States,26238.0,,28203.0
2020-04-13,US,United States,27238.0,,30204.0
2020-04-14,US,United States,28517.0,,32685.0
2020-04-15,US,United States,26039.0,,35284.0
2020-04-16,US,United States,29617.0,,37479.0
2020-04-17,US,United States,33190.0,,39583.0
2020-04-18,US,United States,27312.0,,41521.0
2020-04-19,US,United States,25424.0,,43510.0
2020-04-20,US,United States,30261.0,,45768.0
2020-04-21,US,United States,26329.0,,48245.0
2020-04-22,US,United States,29967.0,,50710.0
2020-04-23,US,United States,32078.0,,53137.0
2020-04-24,US,United States,31491.0,,55201.0
2020-04-25,US,United States,30626.0,,56939.0
2020-04-26,US,United States,25897.0,,58354.0
2020-04-27,US,United States,24693.0,,59840.0
2020-04-28,US,United States,24604.0,,62072.0
2020-04-29,US,United States,26809.0,,64446.0
2020-04-30,US,United States,29507.0,,66636.0
2020-05-01,US,United States,34822.0,,68516.0
2020-05-02,US,United States,26647.0,,70289.0
2020-05-03,US,United States,23570.0,,71492.0
2020-05-04,US,United States,24051.0,,72862.0
2020-05-05,US,United States,24081.0,,75041.0
2020-05-06,US,United States,24373.0,,77359.0
2020-05-07,US,United States,28210.0,,79262.0
2020-05-08,US,United States,27207.0,,81031.0
2020-05-09,US,United States,24247.0,,82502.0
2020-05-10,US,United States,18703.0,,83503.0
2020-05-11,US,United States,19222.0,,84529.0
2020-05-12,US,United States,23378.0,,86119.0
2020-05-13,US,United States,20001.0,,87814.0
2020-05-14,US,United States,25877.0,,89579.0
2020-05-15,US,United States,24399.0,,91205.0
2020-05-16,US,United States,23868.0,,92374.0
2020-05-17,US,United States,18643.0,,93190.0
2020-05-18,US,United States,22384.0,,94412.0
2020-05-19,US,United States,20758.0,,95840.0
2020-05-20,US,United States,22839.0,,97309.0
2020-05-21,US,United States,25112.0,,98491.0
2020-05-22,US,United States,23922.0,,99695.0
2020-05-23,US,United States,19928.0,,100773.0
2020-05-24,US,United States,20121.0,,101410.0
2020-05-25,US,United States,19186.0,,102010.0
2020-05-26,US,United States,18696.0,,102663.0
2020-05-27,US,United States,18805.0,,104115.0
2020-05-28,US,United States,21129.0,,105180.0
2020-05-29,US,United States,24737.0,,106289.0
2020-05-30,US,United States,22717.0,,107236.0
2020-05-31,US,United States,18764.0,,107857.0
2020-06-01,US,United States,17837.0,,108624.0
2020-06-02,US,United States,19956.0,,109603.0
2020-06-03,US,United States,19048.0,,110602.0
2020-06-04,US,United States,27711.0,,111600.0
2020-06-05,US,United States,26181.0,,112469.0
2020-06-06,US,United States,20153.0,,113107.0
2020-06-07,US,United States,17809.0,,113567.0
2020-06-08,US,United States,16912.0,,114069.0
2020-06-09,US,United States,20324.0,,114978.0
2020-06-10,US,United States,21746.0,,115836.0
2020-06-11,US,United States,22303.0,,116643.0
2020-06-12,US,United States,25555.0,,117466.0
2020-06-13,US,United States,24136.0,,118173.0
2020-06-14,US,United States,18953.0,,118521.0
2020-06-15,US,United States,21095.0,,118919.0
2020-06-16,US,United States,24628.0,,119694.0
2020-06-17,US,United States,27079.0,,120435.0
2020-06-18,US,United States,28238.0,,121132.0
2020-06-19,US,United States,30996.0,,121760.0
2020-06-20,US,United States,31866.0,,122323.0
2020-06-21,US,United States,25859.0,,122642.0
2020-06-22,US,United States,29989.0,,123021.0
2020-06-23,US,United States,38829.0,,123751.0
2020-06-24,US,United States,36279.0,,124506.0
2020-06-25,US,United States,39357.0,,125058.0
2020-06-26,US,United States,49086.0,,125688.0
2020-06-27,US,United States,40833.0,,126188.0
2020-06-28,US,United States,42918.0,,126512.0
2020-06-29,US,United States,41518.0,,126881.0
2020-06-30,US,United States,50056.0,,127430.0
2020-07-01,US,United States,49330.0,,128132.0
2020-07-02,US,United States,55084.0,,128881.0
2020-07-03,US,United States,51658.0,,129560.0
2020-07-04,US,United States,46024.0,,129870.0
2020-07-05,US,United States,53950.0,,130199.0
2020-07-06,US,United States,43632.0,,130580.0
2020-07-07,US,United States,57413.0,,131721.0
2020-07-08,US,United States,60504.0,,132560.0
2020-07-09,US,United States,59833.0,,133598.0
2020-07-10,US,United States,68522.0,,134405.0
2020-07-11,US,United States,60441.0,,135165.0
2020-07-12,US,United States,60220.0,,135638.0
2020-07-13,US,United States,59625.0,,136082.0
2020-07-14,US,United States,65757.0,,136987.0
2020-07-15,US,United States,66299.0,,137940.0
2020-07-16,US,United States,70774.0,,138918.0
2020-07-17,US,United States,66422.0,,139842.0
2020-07-18,US,United States,64325.0,,140732.0
2020-07-19,US,United States,58993.0,,141214.0
2020-07-20,US,United States,60856.0,,141749.0
2020-07-21,US,United States,68295.0,,142843.0
2020-07-22,US,United States,67450.0,,144064.0
2020-07-23,US,United States,67767.0,,145137.0
2020-07-24,US,United States,74949.0,,146229.0
2020-07-25,US,United States,63755.0,,147193.0
2020-07-26,US,United States,55631.0,,147741.0
2020-07-27,US,United States,59997.0,6100.0,148845.0
2020-07-28,US,United States,64564.0,5257.0,150060.0
2020-07-29,US,United States,64051.0,5387.0,151492.0
2020-07-30,US,United States,69204.0,6288.0,152805.0
2020-07-31,US,United States,64375.0,6034.0,153967.0
2020-08-01,US,United States,57424.0,4504.0,155088.0
2020-08-02,US,United States,46889.0,4471.0,155564.0
2020-08-03,US,United States,41896.0,5063.0,156124.0
2020-08-04,US,United States,61621.0,4844.0,157372.0
2020-08-05,US,United States,54137.0,4911.0,158787.0
2020-08-06,US,United States,60036.0,4920.0,159968.0
2020-08-07,US,United States,60441.0,4656.0,161263.0
2020-08-08,US,United States,63767.0,4149.0,162352.0
2020-08-09,US,United States,54163.0,4095.0,162933.0
2020-08-10,US,United States,51637.0,4796.0,163461.0
2020-08-11,US,United States,56876.0,4456.0,164541.0
2020-08-12,US,United States,55222.0,4594.0,166045.0
2020-08-13,US,United States,51446.0,4827.0,167073.0
2020-08-14,US,United States,70072.0,4740.0,168376.0
2020-08-15,US,United States,52325.0,4173.0,169419.0
2020-08-16,US,United States,34577.0,4578.0,170030.0
2020-08-17,US,United States,37997.0,4744.0,170509.0
2020-08-18,US,United States,44975.0,4273.0,171738.0
2020-08-19,US,United States,45915.0,4421.0,172417.0
2020-08-20,US,United States,45135.0,4173.0,173515.0
2020-08-21,US,United States,47900.0,4520.0,174612.0
2020-08-22,US,United States,45271.0,3704.0,175574.0
2020-08-23,US,United States,31903.0,3770.0,176076.0
2020-08-24,US,United States,34091.0,4367.0,176507.0
2020-08-25,US,United States,42562.0,4419.0,177724.0
2020-08-26,US,United States,42192.0,4178.0,178877.0
2020-08-27,US,United States,50437.0,4666.0,179985.0
2020-08-28,US,United States,46320.0,4611.0,180901.0
2020-08-29,US,United States,43071.0,3915.0,181864.0
2020-08-30,US,United States,34168.0,3905.0,182304.0
2020-08-31,US,United States,33526.0,4122.0,182789.0
2020-09-01,US,United States,41969.0,4077.0,183850.0
2020-09-02,US,United States,40118.0,3841.0,184923.0
