usa_or_hhsregion,week_ending,variant,share,share_hi,share_lo,nchs_or_count_flag,modeltype,time_interval,published_date,Country
USA,2021-05-08,B.1.1.529,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,B.1.617.2,0.017095888033509,0.02135425247252,0.013490960933268,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,BA.1.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,BA.2,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,BA.2.12.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,BA.4,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,BA.5,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-08,Other,0.982904136180878,0.986509025096893,0.9786457419395448,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,B.1.1.529,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,B.1.617.2,0.02395623549819,0.030430475249887,0.0185384806245565,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,BA.1.1,0.00012398052786,0.00071269023465,2.7091282390756533e-06,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,BA.2,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,BA.2.12.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,BA.4,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,BA.5,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-15,Other,0.975919783115387,0.981348216533661,0.9694368839263916,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,B.1.1.529,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,B.1.617.2,0.038265343755484,0.047939509153366,0.0300647746771574,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,BA.1.1,0.000264183297986,0.001520672230981,5.726808922190685e-06,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,BA.2,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,BA.2.12.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,BA.4,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,BA.5,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-22,Other,0.961470484733582,0.969684958457947,0.9517892599105836,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,B.1.1.529,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,B.1.617.2,0.069503203034401,0.088180936872959,0.0537257455289363,0.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,BA.1.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,BA.2,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,BA.2.12.1,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
USA,2021-05-29,BA.4,0.0,,,1.0,weighted,weekly,06/14/2022 12:00:00 AM,United States
