date,I,R,D,V,H,I_0-9,I_10-19,I_20-29,I_30-39,I_40-49,I_50-59,I_60-69,I_70-79,N_0-9,N_10-19,N_20-29,N_30-39,N_40-49,N_50-59,N_60-69,N_70-79,N_80-89,N_90-99,N_100+,S
2021-12-28,3212625,49013829,765190,243140793,102636,245459.0,415982.0,765750.0,693461.0,537790.0,448457.0,286173.0,137465.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,282669308
2021-12-29,3624158,49153649,767085,243576219,100050,270734.0,465497.0,872658.0,784454.0,614344.0,513752.0,328853.0,157578.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,282120541
2021-12-30,4130529,49306659,768175,243979710,96109,282208.0,485986.0,907715.0,815621.0,640509.0,536796.0,342393.0,164174.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,281465101
2021-12-31,4351453,49467551,770241,244142417,92546,323057.0,573201.0,1064055.0,947997.0,760594.0,640673.0,411676.0,200913.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,281086848
2022-01-01,4399208,49556946,770838,244176515,91436,322394.0,568758.0,1065589.0,949733.0,761730.0,639698.0,409845.0,199817.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,280950808
2022-01-02,4631798,49634825,771104,244313405,90582,337667.0,596496.0,1114750.0,994697.0,802342.0,674772.0,431150.0,209486.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,280641193
2022-01-03,5825360,49881721,772518,244653837,89004,493754.0,834667.0,1460499.0,1318558.0,1073679.0,908878.0,577963.0,278376.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,279202313
2022-01-04,6144667,50069407,774760,245025667,87275,485030.0,844923.0,1490567.0,1335135.0,1094755.0,928158.0,592766.0,287960.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,278697049
2022-01-05,6621578,50297110,776577,245404695,84602,489239.0,836762.0,1459162.0,1302498.0,1064892.0,899468.0,570920.0,275113.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,277995108
2022-01-06,7197072,50553753,779736,245774919,82137,530577.0,889214.0,1528930.0,1362695.0,1116161.0,945155.0,598348.0,287843.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,277165436
2022-01-07,7926466,50795266,781091,246174355,79111,540044.0,885288.0,1496839.0,1329863.0,1088486.0,921541.0,581206.0,278768.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,276197555
2022-01-08,7823916,50928354,781358,246448593,77864,554864.0,898306.0,1509804.0,1343442.0,1102100.0,933586.0,589692.0,282474.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,276168264
2022-01-09,7959225,51083563,781597,246590388,76870,608921.0,1000683.0,1644201.0,1460152.0,1205455.0,1020536.0,651090.0,315305.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,275878740
2022-01-10,9638024,51505948,783542,246920892,75626,640227.0,1032315.0,1642015.0,1460477.0,1209529.0,1025833.0,652256.0,314747.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,273778800
2022-01-11,9626106,51866201,785626,247259551,72845,649930.0,1039002.0,1602376.0,1430073.0,1186355.0,1004477.0,639717.0,308183.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,273433246
2022-01-12,10041845,52322004,787395,247599838,70107,760989.0,1202162.0,1784822.0,1613565.0,1354664.0,1159532.0,745645.0,360520.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,272564442
2022-01-13,10437314,52879596,788697,247936560,67536,746785.0,1181936.0,1705407.0,1543512.0,1294982.0,1102808.0,707782.0,342172.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,271613952
2022-01-14,10825501,53349300,790032,248315034,64759,753680.0,1174754.0,1637367.0,1491372.0,1250837.0,1063818.0,683422.0,329222.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,270758838
2022-01-15,10620575,53652727,790465,248541629,63297,736774.0,1140782.0,1564977.0,1429746.0,1198830.0,1019613.0,653762.0,314069.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,270661799
2022-01-16,10554675,53959675,790771,248648130,62214,735136.0,1126205.0,1519570.0,1391377.0,1165215.0,991411.0,637472.0,306494.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,270421834
2022-01-17,11235250,54833378,792395,248864353,61504,681687.0,1036591.0,1361167.0,1247405.0,1045969.0,888885.0,574856.0,277619.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,268868266
2022-01-18,11293010,55523726,795146,249117251,62245,730463.0,1088017.0,1367841.0,1271829.0,1069955.0,911720.0,590104.0,283567.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,268119417
2022-01-19,11294067,56221207,796931,249366275,58308,717181.0,1055810.0,1298056.0,1219627.0,1027248.0,875580.0,570338.0,277475.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,267424816
2022-01-20,11289437,56986016,798929,249605321,56738,767067.0,1124451.0,1343700.0,1271646.0,1073001.0,918815.0,607311.0,298424.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,266666207
2022-01-21,11210077,57853874,801406,249880701,54401,892161.0,1338296.0,1614214.0,1551269.0,1311897.0,1139075.0,785542.0,396854.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,265880046
2022-01-22,10652611,58303072,802275,250052515,53614,794807.0,1174016.0,1387844.0,1337377.0,1131519.0,976115.0,663943.0,332017.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,265989101
2022-01-23,10530086,58672930,802874,250143704,53026,771188.0,1120409.0,1299103.0,1266493.0,1069150.0,923477.0,629882.0,315102.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,265742356
2022-01-24,11011495,59908451,804676,250346881,51984,781034.0,1116052.0,1278874.0,1264007.0,1068254.0,925937.0,636897.0,320678.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,264026468
2022-01-25,10201482,60700379,807765,250550013,50956,784799.0,1119067.0,1275877.0,1267519.0,1072464.0,932688.0,645854.0,326899.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,264045581
2022-01-26,9961758,61532114,810128,250750095,49045,744010.0,1036243.0,1170300.0,1175270.0,981687.0,849673.0,593443.0,300992.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,263455481
2022-01-27,9662224,62424512,812178,250947586,47227,714748.0,986257.0,1105061.0,1115529.0,933318.0,810695.0,569600.0,291112.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,262864435
2022-01-28,9248668,63322942,815167,251176729,45334,694213.0,943668.0,1066002.0,1081615.0,905258.0,788163.0,556207.0,285299.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,262381454
2022-01-29,8695294,63798122,816566,251297414,44872,679118.0,917489.0,1038006.0,1055337.0,881492.0,770182.0,546324.0,281169.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,262460110
2022-01-30,8417099,64156236,817275,251369707,43721,667072.0,898309.0,1019262.0,1037264.0,867204.0,757746.0,538722.0,278687.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,262381342
2022-01-31,8452427,65112432,818499,251529482,42650,669651.0,892407.0,1014362.0,1037783.0,867475.0,761520.0,544837.0,283117.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,261390889
2022-02-01,7622249,65964584,821008,251678792,42153,684021.0,902243.0,1027844.0,1056941.0,883936.0,779400.0,565900.0,298391.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,261369412
2022-02-02,7156295,66739929,824166,251823832,40175,632619.0,829250.0,957702.0,984755.0,821636.0,725743.0,527919.0,278880.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,261061999
2022-02-03,6784428,67507691,826946,251953604,39581,579491.0,752320.0,879971.0,909466.0,757763.0,669783.0,488277.0,258278.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,260666698
2022-02-04,6206664,68285821,830825,252107161,38206,476882.0,581149.0,674724.0,707485.0,587050.0,517277.0,371469.0,196371.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,260467707
2022-02-05,5815353,68620752,832085,252216674,37769,454048.0,550661.0,639649.0,671695.0,556398.0,491070.0,355660.0,188683.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160,260524524
